CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_avg_sentence_length,mda_percentage_of_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainity_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion
3662,SUNBEAM CORP/FL/,199803,1998-03-06,10-K405,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt,0.0,1.0,-0.9999990000010001,11.336898395721924,0.9995283018867924,4.934570679043487,2119.0,2120.0,0.0,0.0,0.0,0.0004716981132075472,0.0,0.0
3662,SUNBEAM CORP/FL/,199805,1998-05-15,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-001001.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199808,1998-08-13,NT 10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-000783.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199811,1998-11-12,10-K/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002145.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199811,1998-11-16,NT 10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-001203.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199811,1998-11-25,10-Q/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002278.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002401.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002402.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199903,1999-03-31,NT 10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000362.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199905,1999-05-11,10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-000775.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199905,1999-05-17,NT 10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000584.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199906,1999-06-11,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001005.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199908,1999-08-16,NT 10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001074.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199908,1999-08-19,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001361.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-K/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000889812-99-003241.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001639.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001640.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199911,1999-11-15,NT 10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001626.txt,,,,,,,,,,,,,,
3662,SUNBEAM CORP/FL/,199911,1999-11-19,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001856.txt,,,,,,,,,,,,,,
